theme;SimilarElement;element;Datentyp;Kardinalitaet;Beschreibung;Equid;Cattle;Pig;Sheep ;Goat;Poultry;beschreibung_thema;Pascal_Bemerkung;proposedDatatype
identificationData;IsPassportDesired;isPassportDesired;boolean;1 N;true: Ausweis erwuenscht Standardwert: false;;x;;;x;;;??;xs:boolean
identificationData;IsPassPresent;isPassPresent;Boolean;0..1;Ist fuer Equid ein Pass ausgestellt.;x;;;;;;;;xs:boolean
identificationData;UELN;UELN;String;0..1 N;Fuehrende UELN des Equiden;x;;;;;;;identifyerType;eCH-0261:identifierType
healthStatus;BtState;btState;string;N;Bluetongue Status;;x;;;;;;str, bool oder enum?;eCH-0261:enumeratedItemType
healthStatus;BvdState;bvdState;string;1 N;BVD Status;;x;;;;;;str, bool oder enum?;eCH-0261:enumeratedItemType
utilisationData;PigCategory;pigCategory;TranslatedEnumTyp eOfEnumPigCatego ry;0 1;Schweinekategorie;;;x;;;;;enum;eCH-0261:enumeratedItemType
utilisationData;TypeOfUse;typeOfUse;xs:int;1 N;Nutzungsart;x;x;;;x;x;;enum;eCH-0261:enumeratedItemType
utilisationData;TypeOfUseDate;typeOfUseDate;datetime;1 N;Datum der Nutzungsartaenderung;;x;;;;;;;xs:dateTime
ownerData;OwnerAgateNumber;ownerAgateNumber;String;0..1 N;Aktueller Eigentuemer;x;;;;;;;identifyerType;eCH-0261:identifierType
ownerData;OwnerFirstName;ownerFirstName;String;0..1 N;Vorname aktueller Eigentuemer;x;;;;;;;benoetigt, wenn AgateNr?;xs:string
ownerData;OwnerLastName;ownerLastName;String;0..1 N;Nachname aktueller Eigentuemer;x;;;;;;;benoetigt, wenn AgateNr?;xs:string
pedigreeData;BoolHasSGvalidatedFather;boolHasSGValidatedFather;boolean;1 N;true: Der Vater ist durch Swissgenetics validiert;;x;;;;;;;xs:boolean
pedigreeData;EartagNumberFather;fatherEartagNumer;string;1 N;Ohrmarkennummer des Vaters;;x;;x;x;;;identifyerType;xs:string
pedigreeData;EarTagNumberGeneticMother;earTagNumberGeneticMother;string;1 N;Ohrmarkennummer der genetischen Mutter im Format Format;;x;;;;;;identifyerType;xs:string
pedigreeData;EarTagNumberMother;earTagNumberMother;string;1;Ohrmarkennummer der Mutter im Format �CH123456789012� oder;;x;;;;;;identifyerType;xs:string
pedigreeData;EartagNumberMother;motherEartagNumber;string;1 N;Ohrmarkennummer der Mutter;;x;;x;x;;;identifyerType;xs:string
pedigreeData;FatherBreed;fatherBreed;EnumerationValue;1 N;Ziegenrasse des Vaters;;x;;x;x;;;ersetzbar mit FatherBreed enumeratedItem hat validity. identifierType hat sourceSystem...;eCH-0261:enumeratedItemType
pedigreeData;MotherBreed;motherBreed;EnumerationValue;1 N;Ziegenrasse der Mutter;;x;;x;x;;;ersetzbar mit MotherBreed;eCH-0261:enumeratedItemType
pedigreeData;NameFather;fatherName;string;1 N;Name des Vaters;;x;;x;x;;;Wieso nicht wie Mutter mit UELN tracken?;xs:string
pedigreeData;NameMother;motherName;string;1 N;Name der Mutter;;x;;x;x;;;MotherName identisch zu NameMother?;xs:string
pedigreeData;RaceColorFather;raceColorFather;xs:int;1 N;Rassenfarbe des Vaters;;x;;;;;;Enum-Code.;eCH-0261:enumeratedItemType
pedigreeData;RaceColorMother;raceColorMother;xs:int;1;Rassenfarbe der Mutter;;x;;;;;;Enum-Code.;eCH-0261:enumeratedItemType
pedigreeData;UelnGeneticMother;UELNGeneticMother;String;1 N;UELN der genetischen Mutter;x;;;;;;;identifyerType;eCH-0261:identifierType
pedigreeData;UelnMother;UELNMother;String;1 N;UELN der Mutter;x;;;;;;;identifyerType;eCH-0261:identifierType
reproductionData;BirthProcess;birthProcess;xs:int;1 N;Geburtsablauf;;x;;;;;;Enum-Code.;xs:int
reproductionData;Deformations;deformations;IntArray;1 N;Missbildungen;;x;;;;;;Anzahl Missbildungen? Enum-Code? Boolean? Da xsd kein array abbilden kann: xs:string?;xs:string
reproductionData;FirstCalvingDate. FirstKiddingDate. FirstLambingDate;firstOffspring;datetime;1 N;Datum der Erstabkalbung oder;;x;;x;x;;;ersetzbar mit firstOffspring?;xs:dateTime
reproductionData;InseminationDate;inseminationDate;datetime;1 N;Datum der KB/Belegung/Embryotransfer;;x;;;;;;;xs:dateTime
